Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.6951848268508911,39.0,46.98
1,2,0.6599214434623718,76.33333333333333,61.95
1,3,0.4447371917111533,88.0,67.46
1,4,0.3345629516988992,89.2,81.93
1,5,0.2492782421410083,92.16666666666669,83.67
1,6,0.2071536803110079,94.14285714285714,88.73
1,7,0.1507787756048716,94.625,86.42
1,8,0.2316228811939557,95.77777777777776,88.07
1,9,0.3334537642076611,90.4,86.25
1,10,0.1672002594504091,94.9090909090909,93.18
2,1,1.9461967647075653,37.0,33.64
2,2,0.8100825667381286,74.0,65.53
2,3,0.395825554217611,87.5,62.09
2,4,0.3516210485249758,90.6,75.84
2,5,0.208927171677351,93.33333333333331,79.27
2,6,0.2164768861098722,92.85714285714286,86.64
2,7,0.1728228370730693,95.0,91.91
2,8,0.3132584355771541,96.55555555555556,91.55
2,9,0.2456290791742503,92.8,77.31
2,10,0.2455613488952318,94.0,93.45
3,1,1.7735830247402191,36.0,25.37
3,2,0.7933672308921814,70.66666666666667,53.67
3,3,0.3440651851040976,88.5,78.03
3,4,0.2207530476152897,92.6,84.78
3,5,0.1577477969229221,95.0,90.41
3,6,0.1670645421201532,94.57142857142856,77.81
3,7,0.1255865708853189,96.5,82.03
3,8,0.4818052507936954,94.66666666666669,86.4
3,9,0.2872261954471469,91.2,79.02
3,10,0.1922565686206022,93.9090909090909,91.04
4,1,1.799350157380104,35.5,20.53
4,2,0.8220947802066803,71.33333333333333,54.34
4,3,0.3608830486025129,89.25,75.37
4,4,0.3647413365542888,89.6,79.69
4,5,0.3180935200303793,88.66666666666667,73.34
4,6,0.256762217391621,92.14285714285714,85.47
4,7,0.1644091872641673,95.375,87.34
4,8,0.1183672537406285,95.55555555555556,91.38
4,9,0.1275729927001521,96.3,92.82
4,10,0.1866554671691523,95.9090909090909,90.07
5,1,1.6404956877231598,35.5,26.65
5,2,0.7550504624843597,74.66666666666667,66.31
5,3,0.5131533784525735,86.5,71.95
5,4,0.4342826101928949,85.4,65.29
5,5,0.2534824080765247,91.5,78.79
5,6,0.1808716322888027,93.85714285714286,77.01
5,7,0.1984671829984738,93.125,93.01
5,8,0.2417362652719021,95.77777777777776,90.6
5,9,0.2992636379785836,91.0,87.58
5,10,0.1947275650584035,94.45454545454544,92.91
6,1,1.6788068115711212,36.5,33.85
6,2,0.7077318429946899,78.0,63.93
6,3,0.3857968705041067,89.75,64.06
6,4,0.4045992419123649,86.8,72.23
6,5,0.1875352084636688,92.66666666666669,89.58
6,6,0.141044522550973,95.28571428571428,87.92
6,7,0.1488997360261587,94.5,85.17
6,8,0.1306254861255486,96.11111111111111,88.49
6,9,0.1753352063242346,93.6,90.5
6,10,0.1210125438455078,96.27272727272728,89.46
7,1,1.7564163506031036,34.5,21.5
7,2,0.8391237854957581,71.66666666666667,63.98
7,3,0.3348777294158935,88.25,67.69
7,4,0.2372473981231451,92.8,63.45
7,5,0.2808946415781975,91.66666666666669,85.86
7,6,0.175716180015694,94.28571428571428,90.58
7,7,0.1261346818735966,96.375,86.22
7,8,0.1425242227502167,96.44444444444444,90.77
7,9,0.1535084887582343,95.1,90.65
7,10,0.1430882244474358,95.63636363636364,88.35
8,1,1.6371258944272995,33.5,17.86
8,2,0.6930469036102295,74.66666666666667,51.51
8,3,0.3755466214248112,87.0,68.55
8,4,0.2504412215203047,91.6,82.59
8,5,0.2335344843566417,93.83333333333331,87.51
8,6,0.2449788586659864,92.14285714285714,84.32
8,7,0.2177110320100417,93.5,79.85
8,8,0.1748008439938227,94.88888888888889,83.11
8,9,0.2674651816487312,91.8,86.6
8,10,0.2453249396963251,94.36363636363636,84.21
9,1,1.7871831357479095,35.0,16.95
9,2,0.756736946105957,75.66666666666667,55.63
9,3,0.4373496217387063,86.0,81.03
9,4,0.2622300246730447,91.8,62.52
9,5,0.1900544509291649,93.5,81.27
9,6,0.1577747714790431,95.14285714285714,90.87
9,7,0.1830746548680158,94.375,78.78
9,8,0.3411631815135479,93.66666666666669,82.9
9,9,0.2837931243702769,91.6,78.87
9,10,0.1942702515257729,94.54545454545456,90.97
10,1,1.5916487574577332,38.5,35.2
10,2,0.7650355994701385,77.0,61.57
10,3,0.3251274888004575,89.25,64.76
10,4,0.3241947516798973,91.0,84.99
10,5,0.2421336092054843,92.0,76.99
10,6,0.2255694182081656,93.14285714285714,89.7
10,7,0.1697769984602928,94.5,92.22
10,8,0.1603462512294451,96.44444444444444,86.07
10,9,0.2443097392097115,92.5,72.82
10,10,0.1838959033290545,94.45454545454544,90.42
