Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.8302830159664156,33.0,23.42
1,2,0.7087664723396301,78.33333333333333,48.29
1,3,0.3360879676682608,89.0,60.99
1,4,0.2550756745040416,92.6,72.78
1,5,0.1199176147580146,95.83333333333331,87.38
1,6,0.1338270045816898,96.0,88.47
1,7,0.085594630227066,97.375,90.92
1,8,0.151869852716724,97.88888888888889,88.7
1,9,0.3244831970660016,90.9,74.29
1,10,0.2775617879297998,91.27272727272728,86.12
2,1,1.7946582436561584,37.5,42.69
2,2,0.59133859872818,81.0,52.73
2,3,0.3532127227102007,91.25,63.34
2,4,0.2115305736660957,93.4,61.96
2,5,0.1102502394467592,95.66666666666669,78.31
2,6,0.1269927658140659,96.42857142857144,87.53
2,7,0.1104300518591816,96.75,88.87
2,8,0.1149898683652281,96.77777777777776,83.72
2,9,0.19834735407494,93.6,82.2
2,10,0.1361107824163304,95.45454545454544,85.42
3,1,1.6789395213127136,32.5,47.91
3,2,0.57975994348526,81.33333333333333,60.54
3,3,0.3975285845143454,90.0,64.63
3,4,0.2318310178816318,92.4,77.46
3,5,0.1748022139072418,95.83333333333331,85.06
3,6,0.1072180775756185,96.0,82.1
3,7,0.154616761021316,95.875,82.93
3,8,0.1250115069250265,96.11111111111111,92.97
3,9,0.0603046197793446,97.9,91.98
3,10,0.0833207719131476,97.54545454545456,85.7
4,1,1.4331291615962982,48.0,41.96
4,2,0.726220178604126,77.33333333333333,60.82
4,3,0.4107198821646826,87.75,64.54
4,4,0.2694919276982546,91.0,72.38
4,5,0.1925261788070202,94.66666666666669,83.46
4,6,0.1510249494828961,94.85714285714286,86.98
4,7,0.1264711522425596,96.25,90.09
4,8,0.1447797783960898,97.22222222222224,72.65
4,9,0.3350328183732927,90.8,58.87
4,10,0.1566699649103813,96.0909090909091,92.0
5,1,1.6985096633434296,36.5,45.44
5,2,0.5519030690193176,83.33333333333333,63.91
5,3,0.2783551854746682,91.75,83.14
5,4,0.2113749859854579,94.4,78.17
5,5,0.1558734659105539,94.0,86.9
5,6,0.1563038873401555,95.14285714285714,91.05
5,7,0.0900475453012264,96.5,89.86
5,8,0.1026154335588216,97.33333333333331,91.34
5,9,0.0906894902000203,97.4,93.81
5,10,0.1091889619516829,97.1818181818182,86.53
6,1,1.4824678897857666,39.0,41.87
6,2,0.6106055021286011,81.0,53.68
6,3,0.2959355158465249,92.0,74.28
6,4,0.2008696859702468,94.6,84.41
6,5,0.141264222562313,95.5,81.78
6,6,0.1410504862327467,95.0,88.95
6,7,0.1193075334796538,96.375,84.15
6,8,0.120623796681563,96.0,82.3
6,9,0.1095074454788118,96.6,89.05
6,10,0.0960941038922303,97.54545454545456,90.93
7,1,1.624577313661575,45.0,34.89
7,2,0.6008962154388428,81.0,50.55
7,3,0.3757720163890293,90.0,77.85
7,4,0.182584133464843,94.0,86.59
7,5,0.2056203300133347,94.5,60.87
7,6,0.2425111105496233,92.71428571428572,75.38
7,7,0.1078351505387287,96.375,92.79
7,8,0.0588100716471672,98.33333333333331,93.48
7,9,0.0940156887227203,97.1,84.22
7,10,0.1008163178857002,97.27272727272728,92.57
8,1,1.7590083181858065,35.0,34.73
8,2,0.560750812292099,80.66666666666667,62.65
8,3,0.2781079315713474,89.75,64.52
8,4,0.2360196942463517,94.2,76.01
8,5,0.1026215532794594,96.0,85.76
8,6,0.1504800414497202,96.28571428571428,76.04
8,7,0.1535190541583758,96.125,91.72
8,8,0.100132387659202,96.0,89.17
8,9,0.0805173101834952,97.4,90.32
8,10,0.1751185051269001,95.45454545454544,89.71
9,1,1.666521042585373,40.0,21.66
9,2,0.6120808064937592,78.33333333333333,65.4
9,3,0.31642632825034,90.5,70.23
9,4,0.1589857898652553,95.4,80.47
9,5,0.1407155655324459,95.33333333333331,77.62
9,6,0.1738843145695599,94.14285714285714,83.5
9,7,0.1236068345606327,96.5,81.6
9,8,0.0833809008200963,97.77777777777776,86.82
9,9,0.1287896734429523,95.7,92.59
9,10,0.2091903532337811,97.0,81.03
10,1,1.6740314066410065,42.0,29.83
10,2,0.5422268748283386,83.33333333333333,54.06
10,3,0.197878931249891,92.5,71.26
10,4,0.1612311657518148,95.0,78.59
10,5,0.2643834933638572,92.66666666666669,82.9
10,6,0.1828579113564708,93.57142857142856,88.79
10,7,0.1433080954907032,95.5,87.39
10,8,0.0991874618455767,97.11111111111111,91.48
10,9,0.0871829191455617,96.9,92.53
10,10,0.1053597343464692,97.0909090909091,81.86
