Dataset Stats:
Train Dataset Size: 60000, Test Dataset Size:10000 

Run 10 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 21.00%, Loss: 1.978855, Test Acc: 34.37%
Run 9 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 27.50%, Loss: 2.087170, Test Acc: 31.58%
Run 8 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 24.50%, Loss: 2.178899, Test Acc: 26.30%
Run 7 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 2.025135, Test Acc: 28.86%
Run 3 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 26.50%, Loss: 2.041544, Test Acc: 19.23%
Run 1 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 1.767438, Test Acc: 56.23%
Run 5 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 26.00%, Loss: 2.112032, Test Acc: 15.74%
Run 4 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 33.00%, Loss: 1.962204, Test Acc: 37.26%
Run 6 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 30.00%, Loss: 1.915013, Test Acc: 18.99%
Run 2 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 27.50%, Loss: 2.099114, Test Acc: 43.16%
Run 9 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 57.33%, Loss: 1.236980, Test Acc: 47.50%
Run 10 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 60.00%, Loss: 1.209161, Test Acc: 40.36%
Run 7 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 63.33%, Loss: 1.245280, Test Acc: 65.00%
Run 1 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 61.00%, Loss: 1.094499, Test Acc: 52.78%
Run 3 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 59.67%, Loss: 1.204799, Test Acc: 48.21%
Run 2 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 58.67%, Loss: 1.308952, Test Acc: 50.07%
Run 6 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 61.67%, Loss: 1.145246, Test Acc: 41.79%
Run 8 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 53.00%, Loss: 1.376517, Test Acc: 44.70%
Run 4 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 56.33%, Loss: 1.284317, Test Acc: 61.96%
