Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.1097675651311874,24.25,24.408
2,1.271659023761749,59.56666666666666,51.5
3,0.7882274857589177,75.55,62.295
4,0.6317099262028932,79.1,76.16799999999999
5,0.44141549721360207,85.51666666666667,83.60499999999999
6,0.3324623976241458,88.67142857142858,85.474
7,0.2795674397395207,91.325,89.66999999999999
8,0.31604768970360353,92.08888888888889,88.887
9,0.31190959231462323,90.09,87.636
10,0.2449465682937039,92.31818181818183,91.679
