Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7983698844909668,33.5,41.33
1,2,0.7619988918304443,75.0,44.75
1,3,0.4119365619761603,88.0,60.93
1,4,0.361692844890058,88.2,82.79
1,5,0.2178287833929061,94.33333333333331,86.26
1,6,0.1896162141453136,94.14285714285714,87.19
1,7,0.1461776684109981,94.75,90.18
1,8,0.1860046001772085,95.88888888888889,85.02
1,9,0.1895774812437594,93.1,91.02
1,10,0.2256261371076107,94.27272727272728,91.12
2,1,1.9245404303073883,31.5,33.49
2,2,0.8631622910499572,72.66666666666667,53.98
2,3,0.5693658121994564,85.75,70.08
2,4,0.3277676180005073,89.4,69.68
2,5,0.2576359868049621,92.33333333333331,76.99
2,6,0.2522814571857452,91.0,89.51
2,7,0.187988186111817,93.125,88.02
2,8,0.210469485570987,95.33333333333331,92.27
2,9,0.2595081301406026,91.3,78.17
2,10,0.255461315313975,92.45454545454544,85.14
3,1,1.9019794166088104,38.0,34.9
3,2,0.6661796689033508,79.33333333333333,55.92
3,3,0.446437052318028,88.25,57.05
3,4,0.2943012937903404,89.4,75.8
3,5,0.3239363878965378,89.5,74.57
3,6,0.3070765042846853,90.71428571428572,85.88
3,7,0.1810422138525889,93.625,92.3
3,8,0.2031573710342248,94.11111111111111,80.41
3,9,0.2765942779369652,91.9,89.51
3,10,0.1841941612462202,93.8181818181818,91.61
4,1,1.7985675930976868,33.5,28.55
4,2,0.8453737616539001,73.66666666666667,45.03
4,3,0.4386111327580043,85.25,72.37
4,4,0.3681921605020761,88.2,75.27
4,5,0.2515469551086425,92.16666666666669,88.2
4,6,0.2187226882035082,91.42857142857144,80.18
4,7,0.2259369332056779,92.125,84.36
4,8,0.1601639380057652,94.22222222222224,90.41
4,9,0.2040228999685496,94.8,94.02
4,10,0.1029328932571742,96.72727272727272,93.36
5,1,1.5347934067249298,40.0,26.7
5,2,0.6877574682235718,74.66666666666667,52.8
5,3,0.4201747796365193,87.5,74.83
5,4,0.4697690512984991,85.0,75.52
5,5,0.3084525436162948,88.83333333333333,85.81
5,6,0.208320911635052,93.71428571428572,90.89
5,7,0.1405203795203795,96.0,93.43
5,8,0.1251612945149342,96.22222222222224,86.97
5,9,0.1817771780770272,94.0,89.44
5,10,0.1531180569695102,95.0909090909091,89.88
6,1,1.7843376994132996,37.5,33.71
6,2,0.9694863438606264,69.0,59.17
6,3,0.3999845428126199,89.0,80.55
6,4,0.4147329181432724,88.2,79.47
6,5,0.325239373743534,91.0,85.53
6,6,0.2998426190831444,91.57142857142856,85.68
6,7,0.1928853918440067,94.0,91.56
6,8,0.1278261691331863,96.33333333333331,89.56
6,9,0.1817755540832877,95.1,93.83
6,10,0.1903698351234197,94.63636363636364,93.65
7,1,1.9185756146907809,36.0,39.0
7,2,0.6881452620029449,76.33333333333333,69.03
7,3,0.3456456533500126,89.75,82.61
7,4,0.3090256433933973,89.2,70.17
7,5,0.2805158972740173,90.33333333333331,84.63
7,6,0.187248250300234,94.14285714285714,79.18
7,7,0.1629900880731069,94.625,85.95
7,8,0.4283475252489249,94.55555555555556,89.83
7,9,0.3752489725593477,88.4,74.08
7,10,0.2329979774852593,92.8181818181818,94.33
8,1,1.6991222649812698,32.5,33.83
8,2,0.7699010908603668,75.66666666666667,57.59
8,3,0.456559100321361,86.0,59.95
8,4,0.3713041450828314,87.2,81.22
8,5,0.2466396061703562,91.66666666666669,84.45
8,6,0.227032183246179,93.42857142857144,90.55
8,7,0.168767071973819,94.625,90.7
8,8,0.1236369255930185,96.11111111111111,89.49
8,9,0.1873873500153422,94.9,91.81
8,10,0.1565810073581006,96.0,90.28
9,1,1.7713779211044312,34.5,36.25
9,2,0.6552307724952697,80.0,65.84
9,3,0.409765471305166,86.0,70.61
9,4,0.2852088510990143,90.6,81.11
9,5,0.2139465384185314,92.0,87.61
9,6,0.2923458895900033,91.42857142857144,84.69
9,7,0.1965160788251803,93.625,91.45
9,8,0.17391392365098,94.0,92.3
9,9,0.1206199061125516,96.1,92.61
9,10,0.1034356643342309,97.0,92.13
10,1,1.827970713376999,35.5,24.22
10,2,0.8882931470870972,68.66666666666667,59.41
10,3,0.5778615943023137,81.5,68.78
10,4,0.2901979107409715,90.4,80.04
10,5,0.1785091429948807,94.16666666666669,85.8
10,6,0.1822954362088983,94.28571428571428,86.06
10,7,0.2033323476520868,93.875,87.61
10,8,0.1964599990596373,93.33333333333331,84.57
10,9,0.1649108319543302,94.0,89.84
10,10,0.1405363755507601,95.0,93.23
