Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.923870474100113,28.0,35.71
1,2,0.8582816958427429,71.0,58.3
1,3,0.4611814532961164,86.0,67.31
1,4,0.4120703674852848,87.0,66.34
1,5,0.2622797634452581,91.66666666666669,81.89
1,6,0.1726261705837466,95.28571428571428,89.09
1,7,0.1106774736052522,96.375,85.19
1,8,0.1041608685006698,96.33333333333331,90.5
1,9,0.1361733621452003,96.6,89.49
1,10,0.1340745790965027,96.1818181818182,88.6
2,1,1.937218725681305,31.0,36.84
2,2,0.8702248573303223,73.0,46.71
2,3,0.4880233662469046,85.75,62.62
2,4,0.3427550848573446,89.6,73.23
2,5,0.3480184197425842,91.16666666666669,78.06
2,6,0.2038645019585436,93.42857142857144,89.12
2,7,0.1277222028718544,95.5,92.4
2,8,0.1768502136071523,96.55555555555556,92.16
2,9,0.2984847405459732,90.4,88.0
2,10,0.2376561243500974,93.0,91.0
3,1,1.9008168578147888,25.0,33.44
3,2,0.9215668201446532,69.66666666666667,45.4
3,3,0.3723615131207874,88.25,67.2
3,4,0.3119069151580333,88.6,86.62
3,5,0.2023401878774166,93.66666666666669,90.74
3,6,0.2420876303857023,92.71428571428572,90.62
3,7,0.2092474518487086,93.375,85.28
3,8,0.2029570373396078,94.44444444444444,85.92
3,9,0.3196098776534199,90.1,88.24
3,10,0.1789164652840958,95.27272727272728,93.39
4,1,1.9350892305374143,23.5,26.71
4,2,1.1289698362350464,61.333333333333336,45.99
4,3,0.4354065018040793,87.25,60.48
4,4,0.3294597994536161,89.8,80.07
4,5,0.2290762260556221,93.5,85.44
4,6,0.2002198777415535,94.42857142857144,88.16
4,7,0.1357024532671158,94.875,88.38
4,8,0.1515240098039309,94.88888888888889,91.4
4,9,0.1550260647200048,94.9,94.24
4,10,0.10344549227092,97.1818181818182,93.79
5,1,1.6660491526126862,37.0,43.96
5,2,0.8141519665718079,68.66666666666667,54.09
5,3,0.4917569884232112,86.25,69.1
5,4,0.35291513428092,88.8,77.92
5,5,0.1672775037586689,94.16666666666669,89.46
5,6,0.1238965812054547,95.71428571428572,87.91
5,7,0.1756776307637874,96.0,89.43
5,8,0.2225318456689516,93.0,90.9
5,9,0.2071127090603113,93.6,85.82
5,10,0.1187852223714192,96.63636363636364,94.11
6,1,1.8564748764038088,36.0,36.34
6,2,0.8573938488960267,70.66666666666667,50.81
6,3,0.4469202331134251,86.75,80.1
6,4,0.308873038738966,89.6,78.03
6,5,0.3011578932404518,92.66666666666669,83.87
6,6,0.2573596333915537,91.28571428571428,67.52
6,7,0.1946075398188371,94.375,90.37
6,8,0.1558589071035385,95.88888888888889,92.93
6,9,0.1724873981438577,94.9,86.9
6,10,0.1806887419273456,95.45454545454544,90.12
7,1,2.088273674249649,34.5,32.22
7,2,0.9991591334342956,67.0,57.22
7,3,0.5204786743436541,83.0,68.91
7,4,0.4068291932344436,87.8,75.15
7,5,0.3049466498196125,91.33333333333331,82.88
7,6,0.2852562963962555,90.14285714285714,89.59
7,7,0.1873577606792633,93.625,91.92
7,8,0.0937144500513871,97.0,93.49
7,9,0.0858801915892399,96.8,88.91
7,10,0.1020068630783094,96.36363636363636,91.54
8,1,1.6751199066638949,38.5,30.28
8,2,0.860554838180542,71.66666666666667,61.94
8,3,0.4705845713615417,83.5,69.62
8,4,0.2814254928380251,88.8,72.9
8,5,0.2715266197919845,91.83333333333331,87.41
8,6,0.185119725425135,93.85714285714286,85.66
8,7,0.1812150464034997,93.875,88.34
8,8,0.2117910049855709,95.22222222222224,88.41
8,9,0.2258750970941037,92.2,90.94
8,10,0.180380559215943,94.72727272727272,93.01
9,1,2.0031789541244507,31.5,31.81
9,2,0.9614741921424864,68.66666666666667,53.79
9,3,0.4805386619908469,85.0,73.58
9,4,0.3768636211752891,87.2,82.75
9,5,0.2519831337034702,90.83333333333331,83.5
9,6,0.2476145530288869,91.85714285714286,82.97
9,7,0.1300513738623032,96.125,93.7
9,8,0.2787316583096981,96.44444444444444,91.71
9,9,0.2170682006981223,93.8,82.83
9,10,0.2321130981047948,93.72727272727272,89.62
10,1,1.874209702014923,32.5,36.55
10,2,0.6985922455787659,75.33333333333333,58.36
10,3,0.3633290486676352,88.75,62.11
10,4,0.2885509300976991,90.6,80.11
10,5,0.2578290536999702,92.33333333333331,81.94
10,6,0.2091851789842952,92.85714285714286,91.13
10,7,0.1357288621366024,96.0,88.63
10,8,0.1119458188613255,96.66666666666669,82.93
10,9,0.1523612212622538,95.9,92.52
10,10,0.0929160507188903,96.36363636363636,90.42
