Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.7702783301472664,34.6,29.483999999999998
2,0.7981931674480438,73.9,52.965999999999994
3,0.4808274473462785,85.225,73.311
4,0.3936501445248723,87.08,75.56
5,0.26735061256214976,91.8,79.513
6,0.23724544403905218,92.55714285714285,84.889
7,0.19168576704194912,93.95,88.42999999999999
8,0.20153944004327057,94.76666666666667,89.575
9,0.23769319215789436,92.67999999999999,87.613
10,0.18564409206931787,94.56363636363636,91.91900000000001
