Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.8261355459690092,26.5,31.81
1,2,0.7806490063667297,74.33333333333333,50.72
1,3,0.4250959157943725,86.5,62.03
1,4,0.2790528573095798,90.6,84.48
1,5,0.3540487736463547,91.33333333333331,83.79
1,6,0.3576533672484485,89.85714285714286,82.45
1,7,0.1804820456756995,93.875,92.08
1,8,0.150206995755434,94.22222222222224,82.28
1,9,0.1393908681347966,96.0,92.9
1,10,0.1525735935817162,95.45454545454544,94.27
2,1,1.6070418506860733,37.5,25.09
2,2,0.642597907781601,77.66666666666667,62.43
2,3,0.4974984228610992,84.25,75.02
2,4,0.4339036885648966,87.8,79.54
2,5,0.2593854106962681,91.33333333333331,71.56
2,6,0.2241629836234179,92.57142857142856,87.0
2,7,0.2199911071130862,91.875,90.03
2,8,0.2347515930732091,95.44444444444444,91.35
2,9,0.314661773853004,90.4,85.34
2,10,0.2197836227715015,93.0,90.51
3,1,1.8044650554656985,33.0,31.74
3,2,0.7542892813682556,79.0,26.14
3,3,0.4527402435030256,87.5,72.02
3,4,0.3924165554344654,87.0,82.27
3,5,0.2283446215093136,92.33333333333331,80.32
3,6,0.1981606855988502,93.28571428571428,85.7
3,7,0.1583268267030899,96.0,89.02
3,8,0.2011903545508782,94.55555555555556,90.51
3,9,0.3269914304837584,90.5,79.1
3,10,0.2271268299470345,93.36363636363636,89.62
4,1,1.6540013700723648,37.0,39.94
4,2,0.7489453136920929,77.0,61.12
4,3,0.3838139474391937,87.75,77.57
4,4,0.3103392478078604,89.8,81.98
4,5,0.1720864728093147,93.83333333333331,80.97
4,6,0.3286084261807528,90.85714285714286,83.24
4,7,0.2670168836529438,91.75,91.67
4,8,0.3248464584350586,94.88888888888889,90.37
4,9,0.3714936599135399,88.5,78.14
4,10,0.2013105400320556,93.9090909090909,89.31
5,1,1.6623628586530683,36.0,25.49
5,2,0.9281669735908508,72.0,54.6
5,3,0.5408918857574463,84.0,76.7
5,4,0.4486388098448515,85.0,79.88
5,5,0.2685212165117264,91.83333333333331,86.7
5,6,0.1763811968266964,94.28571428571428,86.5
5,7,0.1484867537824007,95.75,87.97
5,8,0.1394232129057248,97.33333333333331,87.84
5,9,0.2697954960167408,91.8,90.52
5,10,0.1860384948344694,94.54545454545456,93.53
6,1,1.7703330516815186,34.5,34.0
6,2,0.7178717374801635,74.66666666666667,53.73
6,3,0.4400639491421835,87.0,74.7
6,4,0.4783808831125498,84.4,75.37
6,5,0.2649490468204021,93.0,83.18
6,6,0.2040644017132845,93.57142857142856,77.03
6,7,0.1406517934340697,95.25,85.02
6,8,0.1321393935630719,95.55555555555556,91.84
6,9,0.1365696102147922,95.2,92.62
6,10,0.1489005274035864,95.9090909090909,93.81
7,1,1.817348212003708,36.0,15.29
7,2,0.8642847537994385,71.0,49.6
7,3,0.5397367605141231,81.25,81.6
7,4,0.4378701653331518,85.8,72.01
7,5,0.2765197172760963,92.33333333333331,87.95
7,6,0.2346926724368875,92.14285714285714,87.33
7,7,0.1729870421382097,93.5,87.09
7,8,0.1624428438643614,94.44444444444444,88.74
7,9,0.1532508521340787,95.3,90.36
7,10,0.1497668461460206,95.9090909090909,93.03
8,1,1.8222307562828064,34.5,35.18
8,2,0.8038217782974243,74.0,60.84
8,3,0.4944643676280975,86.0,72.14
8,4,0.4274362362921238,86.4,64.13
8,5,0.2976482987403869,91.16666666666669,64.91
8,6,0.2591331662102179,91.85714285714286,86.57
8,7,0.2137200626043173,93.625,87.17
8,8,0.1736326530575752,94.44444444444444,87.3
8,9,0.1608177295420318,94.0,91.59
8,10,0.1959606481509076,94.0909090909091,90.39
9,1,1.8714298605918884,36.0,25.81
9,2,0.9158740878105164,65.66666666666667,49.92
9,3,0.4969078983579363,83.25,78.85
9,4,0.3474038317799568,88.0,73.16
9,5,0.2955744817852974,90.16666666666669,86.1
9,6,0.2278441868045113,93.0,81.0
9,7,0.2740873711613508,92.125,82.56
9,8,0.3153329263130823,91.88888888888889,92.89
9,9,0.2426689639687538,92.6,91.52
9,10,0.177626085985038,95.0909090909091,92.23
10,1,1.8674347400665283,35.0,30.49
10,2,0.8254308342933655,73.66666666666667,60.56
10,3,0.537061082465308,84.75,62.48
10,4,0.3810591697692871,86.0,62.78
10,5,0.2564280858263373,90.66666666666669,69.65
10,6,0.1617533537474545,94.14285714285714,92.07
10,7,0.1411077841543234,95.75,91.69
10,8,0.1814279689143101,94.88888888888889,92.63
10,9,0.2612915373174473,92.5,84.04
10,10,0.1973537318408489,94.36363636363636,92.49
