Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.0590588748455048,26.5,29.64
1,2,1.280673050880432,58.66666666666666,46.55
1,3,0.8625153473445347,73.25,53.81
1,4,0.6560258343815804,78.4,80.65
1,5,0.4399007707834244,85.33333333333333,89.57
1,6,0.3003951988436959,89.57142857142857,89.13
1,7,0.2187277838014639,93.0,89.44
1,8,0.2509039491415024,91.55555555555556,91.65
1,9,0.3191898697987199,90.9,89.95
1,10,0.2434015253351794,92.0,92.31
2,1,2.034445434808731,30.5,21.92
2,2,1.1904039621353149,63.333333333333336,27.67
2,3,0.7179708778858185,75.0,68.79
2,4,0.5795851647853851,81.6,84.76
2,5,0.4778744801878929,84.16666666666667,88.1
2,6,0.3795840740203857,88.14285714285714,85.54
2,7,0.3420362208898251,88.375,83.87
2,8,0.5171324213345846,91.0,85.61
2,9,0.3434636001475155,89.3,82.23
2,10,0.2500707395374775,91.36363636363636,92.43
3,1,1.8718645572662356,25.5,31.86
3,2,1.2556437492370605,56.66666666666666,58.51
3,3,0.7322784151349749,77.75,66.17
3,4,0.70319839194417,76.6,80.31
3,5,0.4101341083645821,86.33333333333333,87.64
3,6,0.3213331333615563,89.14285714285714,88.25
3,7,0.2458578468515322,92.375,89.72
3,8,0.323394571741422,90.77777777777776,82.11
3,9,0.3582093678414821,89.4,87.72
3,10,0.2775113731622696,92.8181818181818,93.0
4,1,2.249810397624969,27.0,30.37
4,2,1.1463533520698548,62.0,49.99
4,3,0.8272501826286316,75.0,67.67
4,4,0.6669364795088768,77.6,76.69
4,5,0.3726303890347481,88.0,89.19
4,6,0.2795193723656914,90.42857142857144,89.46
4,7,0.2847101848859053,91.75,92.35
4,8,0.1895969959596793,93.77777777777776,89.78
4,9,0.2340691438876092,92.8,86.31
4,10,0.2252171242402659,93.54545454545456,93.82
5,1,2.17478546500206,23.0,31.3
5,2,1.3681643724441528,56.0,50.37
5,3,1.0007829751287187,67.25,67.02
5,4,0.6772971302270889,76.6,77.31
5,5,0.5332499325275422,81.33333333333333,78.73
5,6,0.4298302449963309,85.42857142857143,83.99
5,7,0.3294593130166714,89.0,84.83
5,8,0.3508446703354517,92.22222222222224,90.74
5,9,0.3141492046415806,90.2,92.02
5,10,0.2525194904042614,90.9090909090909,91.45
6,1,2.2489888966083527,22.5,22.49
6,2,1.3959656715393067,55.333333333333336,47.49
6,3,0.7703364108289991,77.5,71.11
6,4,0.7155256941914558,76.4,79.87
6,5,0.5351833701133728,81.83333333333333,81.79
6,6,0.3247544779018922,88.57142857142857,87.59
6,7,0.2778134764387057,90.5,91.49
6,8,0.3714241142074267,91.33333333333331,88.97
6,9,0.4237234769389033,87.4,67.25
6,10,0.3235619324776861,90.1818181818182,91.71
7,1,1.9610154628753664,28.5,32.81
7,2,1.1928455352783205,62.0,47.86
7,3,0.7699507645198277,74.25,67.88
7,4,0.6777926869690418,79.6,84.62
7,5,0.3978638052940368,86.0,87.31
7,6,0.3529094972393729,87.42857142857143,88.08
7,7,0.2693899560433168,91.625,90.76
7,8,0.4265087768435478,92.33333333333331,82.11
7,9,0.5695998333394527,83.4,79.39
7,10,0.3062334615323279,89.63636363636364,89.29
8,1,2.1183863282203674,23.5,25.45
8,2,1.191718316078186,60.333333333333336,38.19
8,3,0.8300958956990924,71.5,77.0
8,4,0.5759508982300758,79.8,73.08
8,5,0.4513700515031814,87.0,86.56
8,6,0.4265658151019703,85.28571428571429,80.88
8,7,0.4168742322004758,88.375,89.46
8,8,0.4388461808363597,90.44444444444444,80.97
8,9,0.4517718125134706,86.2,82.14
8,10,0.2719115238222811,91.27272727272728,93.49
9,1,2.195624679327011,28.5,12.71
9,2,1.3061880826950074,57.66666666666666,32.16
9,3,0.8670436143875122,71.0,76.51
9,4,0.6236872337758541,80.8,74.37
9,5,0.4656248390674591,83.33333333333333,85.65
9,6,0.2873102534901012,90.14285714285714,87.42
9,7,0.2788190898986963,90.375,89.48
9,8,0.2631170183420181,90.88888888888889,88.98
9,9,0.292571822181344,91.5,92.4
9,10,0.2356947734951973,91.72727272727272,93.45
10,1,2.013349771499634,24.5,23.84
10,2,1.438653564453125,53.66666666666666,42.89
10,3,0.8590236987386431,70.5,58.91
10,4,0.6931695565581322,77.6,76.35
10,5,0.5378000885248184,82.16666666666667,78.42
10,6,0.3921317986466668,87.14285714285714,90.77
10,7,0.3136173773270387,89.875,90.35
10,8,0.2560304880142212,92.22222222222224,88.3
10,9,0.2194474772550165,93.3,90.61
10,10,0.2404035718904601,92.72727272727272,91.98
