Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.326172423362732,19.15,16.315
2,2.013486592769623,32.46666666666667,30.428999999999995
3,1.6246019840240478,46.4,43.765
4,1.2333153784275055,58.339999999999996,50.368
5,0.8993600767850876,69.48333333333333,69.329
6,0.7159992708401246,75.87142857142858,76.772
7,0.5781361123690238,81.0375,81.19800000000001
8,0.49849111453940476,84.78888888888889,80.532
9,0.5515989885665477,81.97999999999999,81.603
10,0.42690689919723407,86.15454545454546,89.589
