Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,2.470607101917267,21.0,21.78
1,2,1.7626683712005615,41.0,36.47
1,3,1.1880292892456057,60.75,50.72
1,4,1.0157850980758667,64.8,65.02
1,5,0.7017645120620728,76.5,84.29
1,6,0.5844806080514734,80.71428571428571,89.99
1,7,0.4991901173041417,84.25,89.63
1,8,0.438938910762469,86.0,90.68
1,9,0.4706006329506635,82.9,88.11
1,10,0.3312994796368811,88.27272727272727,89.64
2,1,2.4324904084205627,19.5,19.68
2,2,1.8430183410644527,36.333333333333336,20.97
2,3,1.1786672387804304,59.75,64.44
2,4,0.9957094043493272,67.4,72.63
2,5,0.8858056902885437,69.83333333333333,86.88
2,6,0.6251062940467488,79.28571428571429,86.97
2,7,0.4913663726586562,84.25,86.67
2,8,0.6163946787516276,85.44444444444444,90.88
2,9,0.4715869212523103,84.4,90.74
2,10,0.4360945175091426,87.45454545454545,91.46
3,1,2.3788956701755524,26.0,14.51
3,2,1.795136332511902,42.0,49.75
3,3,1.2693261078425817,59.5,55.95
3,4,1.1225586980581284,61.6,69.23
3,5,0.7995681941509247,71.16666666666667,83.74
3,6,0.6094426133415916,80.57142857142857,85.68
3,7,0.5392634593523465,81.125,87.9
3,8,0.3722143098711967,86.88888888888889,91.73
3,9,0.3194808601401746,89.5,93.54
3,10,0.261206108248896,91.9090909090909,92.95
4,1,2.23051193356514,21.0,18.89
4,2,1.8331466913223269,43.333333333333336,39.45
4,3,1.2214749370302471,56.0,61.69
4,4,1.020108662545681,66.8,77.63
4,5,0.6976117730140686,76.0,82.95
4,6,0.5107949511571364,82.71428571428571,90.0
4,7,0.4572039773831001,85.25,91.21
4,8,0.3774676144123077,86.44444444444444,84.93
4,9,0.388610259629786,87.6,92.55
4,10,0.3168700378802087,89.0909090909091,92.38
5,1,2.2396316826343536,21.0,24.59
5,2,1.6786262750625611,44.66666666666666,41.85
5,3,1.2300115823745728,57.25,71.73
5,4,0.959952525794506,67.6,68.29
5,5,0.6361710011959076,79.0,78.59
5,6,0.5349428653717041,81.57142857142857,86.58
5,7,0.4347597635709322,86.75,85.1
5,8,0.3851269433895747,87.66666666666667,77.46
5,9,0.5111507084220648,82.6,90.71
5,10,0.3858527764678001,88.81818181818181,92.23
6,1,2.2007179856300354,20.0,10.43
6,2,1.8844264030456543,35.0,37.75
6,3,1.3603561435426983,56.25,52.07
6,4,0.9693481475114822,67.8,62.53
6,5,0.8079079777002335,73.5,81.4
6,6,0.7758128101175482,73.71428571428571,74.85
6,7,0.4702344628480764,83.25,91.53
6,8,0.4394846638043722,85.22222222222223,85.47
6,9,0.5435717850923538,83.0,88.96
6,10,0.3498581399520238,87.72727272727273,91.73
7,1,2.189726382493973,21.0,24.29
7,2,1.7227394580841064,42.333333333333336,37.39
7,3,1.22163211447852,59.25,50.51
7,4,0.9186715632677078,68.8,72.27
7,5,0.7401524811983109,75.5,85.04
7,6,0.5481590032577515,81.42857142857143,85.95
7,7,0.4288248924108652,85.375,88.09
7,8,0.4044450660546621,86.55555555555556,82.78
7,9,0.544942120090127,83.9,85.72
7,10,0.4366600256827142,88.0,90.07
8,1,2.32337099313736,18.5,29.83
8,2,1.595916819572449,46.333333333333336,46.46
8,3,1.1796574592590332,60.5,73.55
8,4,0.9250628799200058,68.6,77.79
8,5,0.702693498134613,77.33333333333333,80.68
8,6,0.5173765095797452,82.42857142857143,82.42
8,7,0.4716598620781532,84.0,82.88
8,8,0.6294705639282863,86.77777777777777,84.9
8,9,0.5154441986232996,83.8,85.19
8,10,0.3547649946477678,88.54545454545455,92.6
9,1,2.529653251171112,19.5,16.15
9,2,1.672993779182434,47.0,34.33
9,3,1.2307789410863603,56.0,62.19
9,4,0.9834330007433892,69.6,75.49
9,5,0.7862619698047638,72.66666666666667,82.37
9,6,0.6346306502819061,79.28571428571429,82.81
9,7,0.5607801652871646,82.625,92.36
9,8,0.5930190722147624,81.77777777777777,75.36
9,9,0.58382623270154,80.7,85.49
9,10,0.3924648554788695,87.63636363636364,90.59
10,1,2.222938358783722,22.5,11.5
10,2,1.6705118417739868,46.66666666666666,31.03
10,3,1.2082755395344325,59.0,65.66
10,4,0.8389682397246361,72.6,79.4
10,5,0.6194886982440948,79.66666666666667,76.23
10,6,0.6403160880912434,79.28571428571429,83.7
10,7,0.4879999573414142,83.0,86.01
10,8,0.4990495185057322,84.88888888888889,84.68
10,9,0.5050693433731794,83.5,89.35
10,10,0.4127016224794917,86.36363636363636,88.07
