Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.7365951538085938,37.0,30.8
1,2,1.002257239818573,67.33333333333333,52.35
1,3,0.631336829492024,82.0,74.94
1,4,0.4433162230998277,85.8,64.92
1,5,0.3656132280826568,89.5,86.42
1,6,0.2878122099421241,89.57142857142857,91.67
1,7,0.2629950550886301,91.75,87.26
1,8,0.4225631723801294,91.66666666666669,85.59
1,9,0.2444858597591519,91.2,90.87
1,10,0.2537649282150798,92.36363636363636,86.07
2,1,2.051531285047531,28.0,24.28
2,2,0.9923130512237548,66.0,27.37
2,3,0.6750600763729641,82.75,75.0
2,4,0.4576586037874222,86.0,71.52
2,5,0.3463923826813698,88.66666666666667,85.9
2,6,0.2413695928725329,92.0,89.91
2,7,0.1619052444226466,94.625,91.97
2,8,0.4083423877755801,95.11111111111111,91.87
2,9,0.3448011148720979,89.5,77.63
2,10,0.2572887635065449,92.63636363636364,80.52
3,1,2.017651319503784,28.5,13.33
3,2,0.973140859603882,70.0,47.33
3,3,0.49433690735272,83.25,62.57
3,4,0.368877999484539,89.0,79.18
3,5,0.2232083521783351,93.5,79.41
3,6,0.3155696662989529,90.0,90.28
3,7,0.1839831379743722,93.25,88.76
3,8,0.2108441223700841,94.55555555555556,87.89
3,9,0.306945445947349,90.1,87.41
3,10,0.2234969923479689,93.54545454545456,92.57
4,1,1.868965566158295,34.0,26.98
4,2,1.0053574323654175,69.0,57.82
4,3,0.5423471459320613,82.75,57.16
4,4,0.505272451788187,83.6,76.78
4,5,0.33067766726017,89.33333333333333,86.09
4,6,0.313161091371016,90.14285714285714,92.4
4,7,0.2694044032922157,91.0,92.51
4,8,0.2435839921236038,92.44444444444444,89.22
4,9,0.2993271751329303,90.5,94.9
4,10,0.2025377982192569,93.45454545454544,91.28
5,1,1.804375022649765,31.5,34.38
5,2,0.8174853444099426,71.66666666666667,61.62
5,3,0.5724151432514191,81.25,77.54
5,4,0.5521035827696323,81.4,72.19
5,5,0.3912020996212959,88.66666666666667,87.37
5,6,0.2090357132256031,93.0,86.31
5,7,0.1916506491028345,94.125,91.51
5,8,0.1434282443175713,94.66666666666669,90.94
5,9,0.1692079282365739,94.2,86.32
5,10,0.1289794627163145,94.72727272727272,90.83
6,1,2.228433191776276,32.5,43.96
6,2,0.966899621486664,69.33333333333333,46.87
6,3,0.5173120158059257,81.5,70.92
6,4,0.3658636026084423,87.6,75.29
6,5,0.2785939559340477,91.16666666666669,85.21
6,6,0.2137337597933682,92.71428571428572,90.85
6,7,0.1415754186992462,95.625,92.69
6,8,0.1596699935694535,94.88888888888889,89.16
6,9,0.2979042837396264,90.2,92.27
6,10,0.2225524576173888,93.54545454545456,94.73
7,1,1.7060661315917969,41.0,28.29
7,2,0.8326664209365845,73.0,51.18
7,3,0.6367015753473554,83.75,68.6
7,4,0.390881560742855,86.2,85.49
7,5,0.2277971938252449,92.83333333333331,87.03
7,6,0.2233309193768284,92.42857142857144,89.73
7,7,0.1912567071043528,94.25,89.0
7,8,0.2621231332421302,92.0,91.57
7,9,0.2656665504910052,91.6,91.05
7,10,0.206478366214368,94.27272727272728,93.31
8,1,1.8065182268619535,37.0,41.13
8,2,0.8359882235527039,73.0,62.97
8,3,0.6178329033511025,78.5,69.75
8,4,0.5181957446038723,84.2,71.72
8,5,0.2783721748739481,90.66666666666669,85.04
8,6,0.2311884720217097,92.42857142857144,87.67
8,7,0.1600743790085499,95.625,92.92
8,8,0.1676050659889976,95.0,92.71
8,9,0.1757621625438332,94.6,86.59
8,10,0.1611163262277841,94.45454545454544,92.05
9,1,1.883767455816269,33.0,32.08
9,2,0.917915952205658,71.0,67.87
9,3,0.5947401906762805,79.0,64.9
9,4,0.4533800333738327,85.2,81.88
9,5,0.36239133477211,88.5,79.8
9,6,0.2131110050461509,91.57142857142856,89.85
9,7,0.2408041501274475,93.375,86.79
9,8,0.200864627957344,94.11111111111111,84.83
9,9,0.2498059064382687,92.2,86.84
9,10,0.2108561620116233,93.36363636363636,91.23
10,1,1.839936077594757,32.0,42.29
10,2,0.8248355627059937,69.66666666666667,61.5
10,3,0.52271739925657,82.75,65.46
10,4,0.4007105380296707,86.4,76.94
10,5,0.3177928313612937,88.83333333333333,81.72
10,6,0.2463339573957703,92.85714285714286,81.45
10,7,0.1901074688021953,94.375,93.41
10,8,0.1938100469609101,94.88888888888889,92.26
10,9,0.3536047386005521,90.2,90.13
10,10,0.2192046729226907,92.36363636363636,93.9
