Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,1.8947274103760718,32.05,26.531
2,0.9985119700431824,66.5,51.989999999999995
3,0.5378263405391148,83.05,73.82000000000001
4,0.3564064396545291,88.84,78.74199999999999
5,0.24793433081358668,92.35,82.642
6,0.22056429203261024,93.05714285714285,85.139
7,0.14717447958313498,95.275,89.106
8,0.21591850671296314,95.04444444444445,87.51899999999999
9,0.24032300863182168,93.06,86.735
10,0.18746284391317097,94.50909090909092,89.87100000000001
