Run,Epoch,Train Loss,Train Accuracy,Test Accuracy
1,1,1.94481298327446,27.5,19.21
1,2,1.167623019218445,61.66666666666666,51.35
1,3,0.6185142610754285,82.0,66.8
1,4,0.4807313270866871,84.4,66.63
1,5,0.3938193738460541,86.66666666666667,76.58
1,6,0.3570061922073364,89.0,75.88
1,7,0.2033068709648572,93.25,91.35
1,8,0.2585401475429535,93.44444444444444,85.97
1,9,0.323612003121525,90.1,88.03
1,10,0.1720510953002506,94.45454545454544,92.38
2,1,2.1475324630737305,25.0,20.11
2,2,1.371312689781189,54.333333333333336,36.19
2,3,0.8459965756961277,70.5,48.81
2,4,0.5747069492936134,81.6,78.98
2,5,0.428505939245224,87.33333333333333,77.44
2,6,0.3512145199558951,88.42857142857143,85.21
2,7,0.2752168190020781,91.125,92.38
2,8,0.2116629496216774,94.44444444444444,91.76
2,9,0.297439232468605,90.8,91.59
2,10,0.2459602923028999,92.8181818181818,87.2
3,1,1.894331097602844,28.5,21.01
3,2,1.169862723350525,60.66666666666666,41.5
3,3,0.8632758174623761,72.25,72.11
3,4,0.57780796661973,81.4,79.89
3,5,0.3974729225039482,86.66666666666667,81.96
3,6,0.4098897738890214,85.0,87.9
3,7,0.2448258732373897,91.625,87.55
3,8,0.3895100732644399,92.11111111111111,84.49
3,9,0.3665100941434502,88.0,85.77
3,10,0.1993949078023433,93.0909090909091,90.91
4,1,2.2179995477199554,26.0,23.81
4,2,1.253792679309845,62.66666666666666,47.89
4,3,0.6929162229810443,77.5,75.26
4,4,0.5322831310331821,83.0,76.34
4,5,0.4232392862439155,86.0,83.44
4,6,0.4355977895584973,86.14285714285714,81.07
4,7,0.243528636602255,91.875,89.15
4,8,0.2923082376519839,92.66666666666669,88.4
4,9,0.2604196881875396,91.8,91.46
4,10,0.1914931177679035,93.9090909090909,90.2
5,1,2.1075718104839325,22.0,23.2
5,2,1.344757580757141,56.0,52.46
5,3,0.7440122536250523,75.75,64.86
5,4,0.584834199398756,79.8,74.34
5,5,0.386107762157917,88.0,84.96
5,6,0.3538840304721485,88.71428571428571,87.76
5,7,0.2366938247130467,92.375,90.84
5,8,0.2367226729790369,93.11111111111111,91.79
5,9,0.2529291943646967,91.8,89.91
5,10,0.1824995332087079,94.27272727272728,91.8
6,1,1.9404470026493077,26.0,34.95
6,2,1.2030254125595092,63.0,55.28
6,3,0.6739954267229352,78.0,59.38
6,4,0.6117931567132473,79.4,84.82
6,5,0.4057405203580856,87.5,87.25
6,6,0.3206392120231282,88.57142857142857,86.25
6,7,0.2475697191861959,92.25,91.92
6,8,0.1896953935424487,93.33333333333331,91.71
6,9,0.1951389645691961,94.3,90.57
6,10,0.1880116617927948,94.0909090909091,91.9
7,1,1.8640151619911196,29.5,32.54
7,2,1.2866634607315064,60.333333333333336,54.06
7,3,0.6342864888054984,80.75,79.06
7,4,0.4866204317659139,84.4,75.4
7,5,0.3547235816717148,89.33333333333333,83.49
7,6,0.2883704711090434,91.14285714285714,82.54
7,7,0.2395959187012452,92.125,90.92
7,8,0.2490372714896996,92.55555555555556,89.81
7,9,0.3677241997793317,87.7,84.66
7,10,0.2734480193919605,92.54545454545456,89.81
8,1,2.091786026954651,25.0,21.57
8,2,1.3199254512786864,57.333333333333336,59.67
8,3,0.6920591635363442,77.0,73.74
8,4,0.6952908635139465,78.0,75.84
8,5,0.352091471850872,87.83333333333333,74.23
8,6,0.309534495527094,89.42857142857143,86.57
8,7,0.2414541462293038,92.5,85.26
8,8,0.289957170188427,94.33333333333331,88.88
8,9,0.3882166715338826,88.1,77.33
8,10,0.30586586230331,92.0,92.91
9,1,2.0791654884815216,25.0,25.7
9,2,1.1214128732681274,67.33333333333333,45.68
9,3,0.7250486271721976,75.5,59.23
9,4,0.5641392320394516,82.8,69.42
9,5,0.3742295145988464,87.66666666666667,85.77
9,6,0.3249588134613904,88.85714285714286,89.83
9,7,0.2811222741237053,91.5,91.42
9,8,0.3235413193702697,93.33333333333331,83.84
9,9,0.2941180607303977,90.5,86.42
9,10,0.186358214666446,93.72727272727272,87.35
10,1,2.001133531332016,29.0,15.65
10,2,1.147840666770935,64.33333333333333,65.11
10,3,0.6858980698244912,78.75,74.79
10,4,0.57205381244421,80.8,79.83
10,5,0.3866844072937965,88.0,83.55
10,6,0.4093803506005894,87.14285714285714,83.95
10,7,0.2775870378200824,91.125,90.14
10,8,0.3282461166381836,92.77777777777776,89.27
10,9,0.3581149531528353,88.3,75.0
10,10,0.2489541090197033,92.1818181818182,91.59
