Epoch,Train Loss Average,Train Accuracy Average,Test Accuracy Average
1,2.1673471331596375,23.7,26.832
2,1.4941240692138673,48.766666666666666,40.54600000000001
3,1.1712632545403072,60.525,64.075
4,0.9771656140685081,66.56,73.651
5,0.7916247835755348,72.71666666666667,81.502
6,0.6717369811101394,77.41428571428571,84.69
7,0.5486591703616656,81.125,88.289
8,0.5057960071663061,84.66666666666666,88.334
9,0.5430139890871942,82.17999999999999,87.75399999999999
10,0.4225577258401446,86.18181818181817,91.87
