[GaussianBlur(kernel_size=(3, 3), sigma=(0.1, 2.0)), ColorJitter(brightness=(0.7, 1.3), contrast=None, saturation=None, hue=None), Grayscale(num_output_channels=3), ToTensor(), Normalize(mean=(0.1307,), std=(0.3081,))]
Compose(
    GaussianBlur(kernel_size=(3, 3), sigma=(0.1, 2.0))
    ColorJitter(brightness=(0.7, 1.3), contrast=None, saturation=None, hue=None)
    Grayscale(num_output_channels=3)
    ToTensor()
    Normalize(mean=(0.1307,), std=(0.3081,))
)
Dataset Stats:
Train Dataset Size: 60000, Test Dataset Size:10000 

Run 4 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 36.00%, Loss: 1.722393, Test Acc: 28.01%
Run 9 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 31.00%, Loss: 1.682362, Test Acc: 31.02%
Run 10 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 43.00%, Loss: 1.896262, Test Acc: 27.59%
Run 5 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 35.50%, Loss: 1.664743, Test Acc: 35.63%
Run 8 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 35.50%, Loss: 1.599777, Test Acc: 25.01%
Run 3 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 41.00%, Loss: 1.696859, Test Acc: 29.68%
Run 2 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 32.00%, Loss: 1.896253, Test Acc: 25.46%
Run 1 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 2.043021, Test Acc: 15.56%
Run 7 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 43.00%, Loss: 1.615408, Test Acc: 24.30%
Run 6 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 27.00%, Loss: 1.913324, Test Acc: 40.51%
Run 10 -> Epoch [2/10], LP:300, UP:59702, Train Acc: 74.00%, Loss: 0.732023, Test Acc: 61.30%
Run 4 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 76.33%, Loss: 0.760671, Test Acc: 39.13%
Run 8 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 78.67%, Loss: 0.681174, Test Acc: 60.23%
Run 7 -> Epoch [2/10], LP:300, UP:59701, Train Acc: 74.33%, Loss: 0.718869, Test Acc: 62.70%
Run 1 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 59.67%, Loss: 1.159210, Test Acc: 51.84%
Run 5 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 76.67%, Loss: 0.782023, Test Acc: 52.24%
Run 9 -> Epoch [2/10], LP:300, UP:59701, Train Acc: 70.33%, Loss: 0.821785, Test Acc: 64.50%
Run 3 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 77.67%, Loss: 0.660713, Test Acc: 61.33%
Run 6 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 71.67%, Loss: 0.845129, Test Acc: 62.06%
Run 2 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 71.33%, Loss: 0.855952, Test Acc: 67.64%
Run 10 -> Epoch [3/10], LP:400, UP:59602, Train Acc: 90.25%, Loss: 0.363251, Test Acc: 71.82%
Run 8 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 88.75%, Loss: 0.328635, Test Acc: 73.15%
Run 9 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 86.75%, Loss: 0.495900, Test Acc: 74.78%
Run 3 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 88.25%, Loss: 0.336169, Test Acc: 83.17%
Run 1 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 82.00%, Loss: 0.512399, Test Acc: 74.98%
Run 6 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 86.50%, Loss: 0.397159, Test Acc: 74.55%
Run 4 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 87.25%, Loss: 0.331062, Test Acc: 56.25%
Run 2 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 85.50%, Loss: 0.491484, Test Acc: 59.22%
Run 5 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 85.50%, Loss: 0.409942, Test Acc: 75.21%
Run 7 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 87.75%, Loss: 0.349174, Test Acc: 71.15%
Run 10 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 89.20%, Loss: 0.364815, Test Acc: 63.18%
Run 3 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 91.40%, Loss: 0.288027, Test Acc: 81.53%
Run 9 -> Epoch [4/10], LP:500, UP:59503, Train Acc: 88.00%, Loss: 0.329180, Test Acc: 77.54%
Run 1 -> Epoch [4/10], LP:500, UP:59500, Train Acc: 92.00%, Loss: 0.241032, Test Acc: 83.97%
Run 8 -> Epoch [4/10], LP:500, UP:59501, Train Acc: 92.20%, Loss: 0.269704, Test Acc: 74.42%
Run 6 -> Epoch [4/10], LP:500, UP:59500, Train Acc: 90.00%, Loss: 0.321209, Test Acc: 72.25%
Run 2 -> Epoch [4/10], LP:500, UP:59504, Train Acc: 89.80%, Loss: 0.315230, Test Acc: 72.38%
Run 5 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 88.60%, Loss: 0.312911, Test Acc: 82.10%
Run 4 -> Epoch [4/10], LP:500, UP:59503, Train Acc: 89.80%, Loss: 0.316862, Test Acc: 67.49%
Run 7 -> Epoch [4/10], LP:500, UP:59503, Train Acc: 91.80%, Loss: 0.315912, Test Acc: 80.16%
Run 10 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 91.50%, Loss: 0.271298, Test Acc: 88.98%
Run 3 -> Epoch [5/10], LP:600, UP:59404, Train Acc: 93.50%, Loss: 0.193611, Test Acc: 87.06%
Run 9 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 94.50%, Loss: 0.137065, Test Acc: 84.81%
Run 5 -> Epoch [5/10], LP:600, UP:59404, Train Acc: 92.67%, Loss: 0.250196, Test Acc: 77.50%
Run 1 -> Epoch [5/10], LP:600, UP:59400, Train Acc: 95.33%, Loss: 0.157118, Test Acc: 86.97%
Run 6 -> Epoch [5/10], LP:600, UP:59401, Train Acc: 93.33%, Loss: 0.214480, Test Acc: 73.92%
Run 8 -> Epoch [5/10], LP:600, UP:59401, Train Acc: 93.33%, Loss: 0.197559, Test Acc: 83.91%
Run 2 -> Epoch [5/10], LP:600, UP:59406, Train Acc: 94.33%, Loss: 0.194604, Test Acc: 87.47%
Run 7 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 91.67%, Loss: 0.288093, Test Acc: 80.06%
Run 4 -> Epoch [5/10], LP:600, UP:59404, Train Acc: 92.83%, Loss: 0.263639, Test Acc: 88.83%
Run 10 -> Epoch [6/10], LP:700, UP:59304, Train Acc: 93.14%, Loss: 0.207003, Test Acc: 89.37%
Run 3 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 94.29%, Loss: 0.178855, Test Acc: 91.37%
Run 9 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 96.00%, Loss: 0.113341, Test Acc: 90.21%
Run 5 -> Epoch [6/10], LP:700, UP:59304, Train Acc: 95.43%, Loss: 0.152006, Test Acc: 84.40%
Run 1 -> Epoch [6/10], LP:700, UP:59302, Train Acc: 95.86%, Loss: 0.126863, Test Acc: 86.46%
Run 2 -> Epoch [6/10], LP:700, UP:59309, Train Acc: 95.86%, Loss: 0.175656, Test Acc: 83.37%
